OBJECTID,Country Name,Country Code,Indicator Name,Indicator Code,2014
198,South Africa,ZAF,CO2 emissions (kt),EN.ATM.CO2E.KT,484495.041
209,South Sudan,SSD,CO2 emissions (kt),EN.ATM.CO2E.KT,1536.473
206,Spain,ESP,CO2 emissions (kt),EN.ATM.CO2E.KT,233976.602
39,Sri Lanka,LKA,CO2 emissions (kt),EN.ATM.CO2E.KT,17924.296
196,St. Kitts and Nevis,KNA,CO2 emissions (kt),EN.ATM.CO2E.KT,231.021
208,St. Lucia,LCA,CO2 emissions (kt),EN.ATM.CO2E.KT,407.037
237,St. Vincent and the Grenadines,VCT,CO2 emissions (kt),EN.ATM.CO2E.KT,220.02
209,Sudan,SDN,CO2 emissions (kt),EN.ATM.CO2E.KT,15837.773
170,Suriname,SUR,CO2 emissions (kt),EN.ATM.CO2E.KT,2244.204
211,Sweden,SWE,CO2 emissions (kt),EN.ATM.CO2E.KT,43483.286
214,Switzerland,CHE,CO2 emissions (kt),EN.ATM.CO2E.KT,35679.91
213,Syrian Arab Republic,SYR,CO2 emissions (kt),EN.ATM.CO2E.KT,30703.791
218,Tajikistan,TJK,CO2 emissions (kt),EN.ATM.CO2E.KT,4620.42
229,Tanzania,TZA,CO2 emissions (kt),EN.ATM.CO2E.KT,11562.051
217,Thailand,THA,CO2 emissions (kt),EN.ATM.CO2E.KT,280976.541
222,Togo,TGO,CO2 emissions (kt),EN.ATM.CO2E.KT,2588.902
221,Tonga,TON,CO2 emissions (kt),EN.ATM.CO2E.KT,113.677
216,Trinidad and Tobago,TTO,CO2 emissions (kt),EN.ATM.CO2E.KT,46266.539
224,Tunisia,TUN,CO2 emissions (kt),EN.ATM.CO2E.KT,28829.954
225,Turkey,TUR,CO2 emissions (kt),EN.ATM.CO2E.KT,345908.11
228,Turkmenistan,TKM,CO2 emissions (kt),EN.ATM.CO2E.KT,68426.22
219,Turks and Caicos Islands,TCA,CO2 emissions (kt),EN.ATM.CO2E.KT,198.018
226,Tuvalu,TUV,CO2 emissions (kt),EN.ATM.CO2E.KT,11.001
230,Uganda,UGA,CO2 emissions (kt),EN.ATM.CO2E.KT,4774.434
